,season_teams_count,position_class_team_1,position_class_team_2,diff_points_class,team_1_xg90_performance,team_2_xg90_performance,team_1_xga90_performance,team_2_xga90_performance,team_1_tsr_avg,team_2_tsr_avg,team1_all_classic_xgsh,team1_all_classic_xgash,team1_all_classic_gdxgd,team1_all_classic_wins,team1_all_classic_draw,team1_all_classic_defeat,team1_all_xg90_draw_xgxga,team1_all_xg90_zero_xgxga,team1_all_xg90_com_xgxga,team2_all_classic_xgd,team2_all_classic_gdxgd,team2_all_classic_xp,team2_all_classic_minutes,team2_all_xg90_draw_xga90,team2_all_xg90_draw_xgxga,team2_all_xg90_cxp_xg90,team2_all_xg90_cop_xg90,team2_all_five_draw_xg90,team_1_points_difference4,team_2_points_difference4,team_1_xg90_performance_diff4,team_2_xg90_performance_diff4,team_1_xga90_performance_diff4,team_2_xga90_performance_diff4,team_1_lucky_l4,team_2_lucky_l4,odds_open_win1,odds_open_draw,odds_open_win2,odds_open_tm25,odds_open_tb25,odds_close_win1,odds_close_draw,odds_close_win2,odds_close_tm25,odds_close_tb25,result_output
,24,E,G,D1,10.019.596,83.233.386,90.171.784,15.733.488,4.615.844,3.192.501,0.13,0.1,-3.8,4,4,3,1.26,1.2,4.57,-11.5,2.5,0,1045,1.44,0.49,0,0.01,1.04,-31.250.004,37.499.996,19.592.875,18.371.778,36.033.962,38.913.788,-15.130.138,44.608.527,1.961,3.62,4.04,1.862,1.917,1.719,3.84,5.13,1.961,1.909,2
,24,D,A,C2,13.282.294,1.551.952,11.662.254,4.922.126,4.076.467,61.310.623,0.14,0.11,1.6,6,2,4,0.89,0.69,0.99,4,9,0,1062,1.08,1.17,0.95,1.24,1.1,-9.999.998,-116.071.415,31.909.544,-9.375.002,-311.933,-15.441.913,-35.922.354,-2.788.306,3.07,3.43,2.4,1.775,2.02,3.59,3.35,2.19,1.775,2.11,1
,24,D,F,B1,98.588.663,2.498.578,9.057.327,91.949.403,46.381.126,49.288.258,0.12,0.08,0.2,4,4,3,1.82,2.61,1.58,-4.2,-3.8,0,1051,0.78,0.76,0,0.63,1.13,-14.062.503,37.499.996,-5.782.152,-13.968.581,-1.822.307,41.015.134,-20.500.314,16.023.313,2.23,3.24,3.63,1.689,2.24,2.28,3.18,3.57,1.591,2.44,1
,24,G,F,A2,66.379.887,567.898,13.405.709,1.145.825,40.299.698,4.097.971,0.11,0.12,-2.8,1,3,7,0.61,0.64,0.86,-6.6,-0.4,0,1059,1.54,0.43,1.78,2.57,0.73,-54.166.668,-65.625,42.338.676,-3.191.604,-13.216.841,1.051.883,-34.664.375,-8.706.355,2.17,3.45,3.54,1.8,1.99,2.41,3.26,3.21,1.757,2.13,1
,24,B,F,D1,15.217.667,10.072.558,8.301.457,13.335.763,5.337.844,54.353.527,0.12,0.09,3.3,6,3,2,1.51,1.57,3.21,2.8,-6.8,0,1050,0.6,1.9,0,0.67,0.49,30.952.381,-3.888.889,4.402.983,3.330.508,9.460.778,-11.038.247,-6.476.158,-4.643.296,2.69,3.36,2.75,1.793,2,2.92,3.3,2.58,1.699,2.22,1
,24,C,C,A1,12.320.112,15.273.314,9.943.996,10.102.289,52.181.126,61.626.106,0.12,0.09,-0.4,7,0,4,2.15,2.24,0.85,9,-3,0,1046,0.89,1.12,0.22,1.87,1.05,-2.142.857,9.999.996,3.326.925,-10.549.802,-53.294.914,67.833.834,-7.716.998,5.362.772,2.99,3.25,2.56,1.704,2.21,3.44,3.07,2.4,1.588,2.44,0
,18,D,G,B1,13.489.015,8.096.703,14.542.421,16.232.616,5.632.253,39.575.054,0.13,0.11,-5.2,3,3,3,2.84,3.62,0.92,-4.8,-1.2,0,845,1.43,0.56,1.04,0.29,0.88,-25.000.004,-6.785.715,19.097.477,6.026.061,28.724.762,21.900.307,-78.693.986,-17.553.842,1.92,3.36,4.39,1.79,2.04,1.83,3.46,4.75,1.81,2.04,1
,18,H,F,A2,58.789.736,5.654.762,13.494.611,87.414.384,44.521.935,35.731.815,0.09,0.15,-1,1,3,4,0.6,0.64,1.97,-5,2,0,760,1.16,0.55,0,0.56,0.87,0,25,15.716.616,-48.684.208,14.158.876,-44.074.407,24.021.548,83.723.223,2.14,3.14,3.87,1.714,2.15,2.07,2.95,4.45,1.478,2.69,1
,18,B,A,A2,1.568.461,16.491.568,9.365.215,8.607.921,46.124.992,6.248.086,0.12,0.09,4.9,6,4,2,1.16,0.95,1.92,2.9,7.1,0,1141,0.72,1.35,0.59,1.02,0.68,2.272.727,20.000.004,-17.278.755,10.738.247,-9.451.565,-37.629.378,19.680.464,19.967.663,2.3,3.14,2.96,1.793,1.952,2.37,3.11,3.19,1.657,2.23,2
,18,H,C,D2,76.048.565,13.886.926,1.398.492,11.333.817,54.631.596,54.588.985,0.11,0.11,-7.3,1,5,6,1.81,1.4,1.33,0.8,2.2,0,1139,1.02,0.87,0.08,0.58,0.82,-25.000.004,5.000.003,-9.433.967,-63.358.784,25.991.798,2.760.275,26.359.916,31.788.552,2.77,3.09,2.38,1.781,1.99,2.6,3.44,2.62,1.826,2.02,1
